Feature	Importance
aromatic.uncharger.gap2	3.000000
RA.gap1	3.000000
hydrophobicity_ARGP820101.G1	3.000000
postivecharger.uncharger.gap2	3.000000
HG.gap4	3.000000
PD.gap2	3.000000
IT.gap1	3.000000
LL.gap5	2.000000
DT.gap1	2.000000
LP.gap2	2.000000
L-feat	2.000000
LK.gap5	2.000000
DF.gap2	2.000000
DQ.gap1	2.000000
ME.gap2	2.000000
PS.gap5	2.000000
DK.gap1	2.000000
PR.gap5	2.000000
DG.gap1	2.000000
LS.gap5	2.000000
LD.gap5	2.000000
NE.gap5	2.000000
MK.gap5	2.000000
N-feat	2.000000
MA.gap5	2.000000
KD.gap2	2.000000
NL.gap5	2.000000
KQ.gap2	2.000000
HK.gap2	2.000000
AA.gap1	2.000000
GT.gap2	2.000000
GN.gap2	2.000000
LA.gap2	2.000000
T-feat	2.000000
AN.gap1	2.000000
PC.gap5	2.000000
PD.gap5	2.000000
KL.gap2	2.000000
LI.gap2	2.000000
R-feat	2.000000
EK.gap2	2.000000
PI.gap5	2.000000
IE.gap4	2.000000
GH.gap1	2.000000
H-feat	2.000000
VL.gap5	2.000000
YD.gap5	2.000000
ID.gap1	2.000000
IL.gap1	2.000000
RK.gap1	2.000000
AG	2.000000
AK	2.000000
CC	2.000000
S_Q	2.000000
IV.gap1	2.000000
KE.gap1	2.000000
KG.gap1	2.000000
KK.gap1	2.000000
ED	2.000000
KN.gap1	2.000000
PT.gap1	2.000000
EL	2.000000
ET	2.000000
KY.gap1	2.000000
FL	2.000000
LI.gap1	2.000000
FR	2.000000
GA	2.000000
NG.gap1	2.000000
LV.gap1	2.000000
LW.gap1	2.000000
SQ.gap1	2.000000
TA.gap1	2.000000
AT.gap2	2.000000
VH.gap5	2.000000
AK.gap2	2.000000
AI.gap2	2.000000
D-feat	2.000000
ET.gap1	2.000000
FD.gap1	2.000000
FT.gap1	2.000000
GD.gap1	2.000000
QR.gap5	2.000000
GE.gap1	2.000000
QT.gap5	2.000000
DA-feat	2.000000
RF.gap5	2.000000
RI.gap5	2.000000
Y_I	2.000000
VV.gap1	2.000000
SI.gap5	2.000000
VS.gap1	2.000000
SQ.gap5	2.000000
SR.gap5	2.000000
VG.gap1	2.000000
TV.gap5	2.000000
TY.gap5	2.000000
HK.gap1	2.000000
VE.gap5	2.000000
TE.gap1	2.000000
KN.gap5	2.000000
TA.gap2	2.000000
KL.gap5	2.000000
QK.gap3	2.000000
AR.gap4	2.000000
AP.gap4	2.000000
AD.gap4	2.000000
YR.gap3	2.000000
RP.gap4	2.000000
YD.gap3	2.000000
RV.gap4	2.000000
ML-feat	2.000000
WR.gap3	2.000000
VT.gap3	2.000000
VH.gap3	2.000000
TR.gap3	2.000000
TG.gap3	2.000000
TN.gap4	2.000000
IS-feat	2.000000
LK-feat	2.000000
NE.gap3	2.000000
VE.gap4	2.000000
LL.gap3	2.000000
VG.gap4	2.000000
VK.gap4	2.000000
LD.gap3	2.000000
LD-feat	2.000000
VS.gap4	2.000000
VT.gap4	2.000000
VW.gap4	2.000000
KS-feat	2.000000
KR-feat	2.000000
QA.gap4	2.000000
NV-feat	2.000000
AY.gap4	2.000000
WA-feat	2.000000
GY.gap4	2.000000
GV.gap4	2.000000
IS.gap4	2.000000
IT.gap4	2.000000
KA.gap4	2.000000
KF.gap4	2.000000
GR.gap4	2.000000
GP.gap4	2.000000
GM.gap4	2.000000
GI.gap4	2.000000
FT.gap4	2.000000
HC	2.000000
RG-feat	2.000000
TS-feat	2.000000
LI.gap4	2.000000
TV-feat	2.000000
EF.gap4	2.000000
VD-feat	2.000000
MI.gap4	2.000000
VG-feat	2.000000
VK-feat	2.000000
DK.gap4	2.000000
NK.gap4	2.000000
NP.gap4	2.000000
PL-feat	2.000000
VS-feat	2.000000
PE-feat	2.000000
KR.gap3	2.000000
IN-feat	2.000000
KK.gap5	2.000000
TG.gap2	2.000000
FS.gap5	2.000000
YI.gap2	2.000000
VV.gap2	2.000000
GF.gap5	2.000000
GG.gap5	2.000000
ES-feat	2.000000
VR.gap2	2.000000
VN.gap2	2.000000
VL.gap2	2.000000
ER-feat	2.000000
GS.gap5	2.000000
VA.gap2	2.000000
TT.gap2	2.000000
EQ-feat	2.000000
IL-feat	2.000000
EP-feat	2.000000
SD-feat	2.000000
SI.gap2	2.000000
SE.gap2	2.000000
DQ-feat	2.000000
SD.gap2	2.000000
RQ.gap2	2.000000
RG.gap2	2.000000
DK-feat	2.000000
RD.gap2	2.000000
QA.gap2	2.000000
KD.gap5	2.000000
KI.gap5	2.000000
FR.gap5	2.000000
FE-feat	2.000000
YN.gap2	2.000000
FN.gap5	2.000000
IP.gap3	2.000000
ID-feat	2.000000
AE.gap5	2.000000
IH.gap3	2.000000
HG.gap3	2.000000
AL.gap5	2.000000
AM.gap5	2.000000
GI.gap3	2.000000
FW.gap3	2.000000
FP.gap3	2.000000
HC-feat	2.000000
GY-feat	2.000000
EK.gap3	2.000000
DF.gap5	2.000000
GP-feat	2.000000
CT.gap3	2.000000
EA.gap5	2.000000
CA.gap3	2.000000
AM.gap3	2.000000
GA-feat	2.000000
AE.gap3	2.000000
EK.gap5	2.000000
FV-feat	2.000000
EP.gap5	2.000000
EV.gap5	2.000000
FG.gap5	2.000000
FG-feat	2.000000
FR.gap4	2.000000
MK.gap1	2.000000
IG	2.000000
aromatic.postivecharger.gap4	2.000000
NC	2.000000
Autocorr_w3	2.000000
IY	2.000000
G_N	2.000000
alphaticr.aromatic.alphaticr	2.000000
uncharger.alphaticr.alphaticr	2.000000
I_N	2.000000
WM	2.000000
uncharger.aromatic.gap1	2.000000
uncharger.negativecharger.gap3	2.000000
Autocorr_w2	2.000000
Autocorr_w7	2.000000
postivecharger.alphaticr.uncharger	2.000000
L_Q	2.000000
Q_A	2.000000
MR	2.000000
alphaticr.negativecharger.gap2	2.000000
negativecharger.alphaticr.alphaticr	2.000000
KK	2.000000
alphaticr.uncharger.gap2	2.000000
PE	2.000000
PR	2.000000
L_L	2.000000
negativecharger.negativecharger.gap4	2.000000
TL	2.000000
negativecharger.negativecharger.uncharger	2.000000
K_I	2.000000
YQ	2.000000
IR	2.000000
uncharger.negativecharger.gap0	2.000000
IP	2.000000
aromatic.postivecharger.gap3	2.000000
negativecharger.uncharger.aromatic	2.000000
negativecharger.negativecharger.gap3	2.000000
N_G	2.000000
aromatic.aromatic.alphaticr	2.000000
uncharger.negativecharger.uncharger	2.000000
negativecharger.postivecharger.gap3	2.000000
uncharger.aromatic.gap5	2.000000
negativecharger.postivecharger.gap1	2.000000
IV	2.000000
IM	2.000000
TD	2.000000
PS	2.000000
alphaticr.alphaticr.postivecharger	2.000000
alphaticr.postivecharger.gap1	2.000000
aromatic.uncharger.gap4	2.000000
negativecharger.negativecharger.gap2	2.000000
alphaticr.alphaticr.gap5	2.000000
uncharger.uncharger.uncharger	2.000000
LF	2.000000
uncharger.postivecharger.aromatic	2.000000
aromatic.negativecharger.gap5	2.000000
alphaticr.uncharger.uncharger	2.000000
alphaticr.negativecharger.gap0	2.000000
SD	2.000000
LE	2.000000
aromatic.alphaticr.gap5	2.000000
PI	2.000000
LS	2.000000
