Feature	Importance
alphaticr.uncharger.aromatic	0.000786
aromatic.alphaticr.uncharger	0.000785
GM-feat	0.000782
k3	0.000780
g1.g2.g3	0.000780
NW-feat	0.000778
g1.g1.g4	0.000778
N_E	0.000777
negativecharger.uncharger.uncharger	0.000775
TG-feat	0.000774
g3.g4.g3	0.000774
g6.g3.g1	0.000773
Autocorr_w7	0.000772
AK-feat	0.000771
postivecharger.uncharger.uncharger	0.000768
YE-feat	0.000766
alphaticr.aromatic.alphaticr	0.000763
negativecharger.aromatic.uncharger	0.000759
postivecharger.postivecharger.negativecharger	0.000753
IL-feat	0.000751
V_V	0.000750
P_A	0.000750
PW-feat	0.000748
g1.g4.g1	0.000748
g6.g1.g5	0.000747
TI-feat	0.000742
P_I	0.000742
negativecharger.alphaticr.uncharger	0.000742
alphaticr.alphaticr.aromatic	0.000739
g1.g2.g5	0.000739
alphaticr.negativecharger.negativecharger	0.000737
g4.g4.g1	0.000736
g1.g4.g6	0.000735
KE-feat	0.000735
PM-feat	0.000734
K_D	0.000727
V_M	0.000726
g5.g3.g3	0.000721
g3.g6.g2	0.000721
QI-feat	0.000720
RD-feat	0.000719
AS-feat	0.000718
g5.g4.g1	0.000717
FS-feat	0.000712
IA-feat	0.000712
VL-feat	0.000704
g6.g4.g6	0.000701
alphaticr.postivecharger.negativecharger	0.000699
YT-feat	0.000698
CD-feat	0.000697
D_G	0.000696
KF-feat	0.000696
K_F	0.000692
L_A	0.000691
LD-feat	0.000690
g1.g7.g1	0.000688
AY-feat	0.000684
VC-feat	0.000679
FK-feat	0.000678
VS-feat	0.000678
g6.g3.g2	0.000676
TM-feat	0.000671
negativecharger.postivecharger.uncharger	0.000670
VN-feat	0.000669
VQ-feat	0.000666
g2.g2.g1	0.000663
g7.g1.g2	0.000662
IM-feat	0.000661
negativecharger.negativecharger.uncharger	0.000659
LV-feat	0.000655
g3.g6.g1	0.000653
GH-feat	0.000652
DY-feat	0.000650
g4.g5.g6	0.000648
NI-feat	0.000647
g1.g1.g6	0.000646
g1.g3.g5	0.000645
uncharger.uncharger.aromatic	0.000645
SD-feat	0.000645
g4.g4.g3	0.000644
RT-feat	0.000640
E_A	0.000639
E_V	0.000639
g6.g6.g6	0.000639
g2.g1.g4	0.000637
DN-feat	0.000637
negativecharger.postivecharger.postivecharger	0.000636
NA-feat	0.000636
g1.g5.g2	0.000635
negativecharger.alphaticr.negativecharger	0.000634
F_M	0.000633
