Feature	Importance
D_G	0.000000
D_F	0.000000
C_K	0.000000
C_N	0.000000
C_Y	0.000000
R_H	0.000000
C_W	0.000000
R_K	0.000000
R_L	0.000000
E_F	0.000000
S_Y	0.000000
R_M	0.000000
R_N	0.000000
S_W	0.000000
C_V	0.000000
R_Q	0.000000
R_R	0.000000
C_P	0.000000
S_T	0.000000
A_P	0.000000
A_Q	0.000000
R_S	0.000000
Crosscorr_w3	0.000000
C_T	0.000000
C_S	0.000000
R_F	0.000000
R_E	0.000000
T_L	0.000000
R_D	0.000000
C_Q	0.000000
D_E	0.000000
Q_Q	0.000000
Q_R	0.000000
D_D	0.000000
D_C	0.000000
T_I	0.000000
T_H	0.000000
Q_S	0.000000
Q_T	0.000000
Q_V	0.000000
Q_W	0.000000
S_S	0.000000
A_M	0.000000
T_D	0.000000
A_V	0.000000
Q_Y	0.000000
C_M	0.000000
D_A	0.000000
R_A	0.000000
A_N	0.000000
T_C	0.000000
Crosscorr_w5	0.000000
E_G	0.000000
H_V	0.000000
M_R	0.000000
I_L	0.000000
M_S	0.000000
I_I	0.000000
I_G	0.000000
I_F	0.000000
I_E	0.000000
I_C	0.000000
M_T	0.000000
M_V	0.000000
M_W	0.000000
H_Y	0.000000
H_W	0.000000
M_Y	0.000000
H_T	0.000000
Q_K	0.000000
H_S	0.000000
N_A	0.000000
H_Q	0.000000
H_P	0.000000
H_N	0.000000
H_M	0.000000
H_L	0.000000
H_K	0.000000
N_C	0.000000
N_D	0.000000
N_E	0.000000
H_H	0.000000
H_G	0.000000
H_E	0.000000
M_P	0.000000
M_N	0.000000
M_M	0.000000
I_P	0.000000
L_F	0.000000
L_M	0.000000
L_C	0.000000
L_P	0.000000
K_W	0.000000
L_R	0.000000
L_S	0.000000
K_T	0.000000
K_Q	0.000000
K_N	0.000000
K_M	0.000000
L_T	0.000000
L_W	0.000000
K_I	0.000000
K_H	0.000000
K_D	0.000000
M_A	0.000000
K_C	0.000000
M_C	0.000000
M_D	0.000000
M_E	0.000000
M_F	0.000000
I_Y	0.000000
I_W	0.000000
M_G	0.000000
M_H	0.000000
I_T	0.000000
M_I	0.000000
M_K	0.000000
N_I	0.000000
H_D	0.000000
H_C	0.000000
P_M	0.000000
P_P	0.000000
F_S	0.000000
P_Q	0.000000
F_R	0.000000
F_Q	0.000000
P_T	0.000000
L_H	0.000000
F_P	0.000000
P_W	0.000000
F_N	0.000000
F_M	0.000000
F_H	0.000000
F_G	0.000000
F_C	0.000000
E_Y	0.000000
P_Y	0.000000
E_W	0.000000
Q_C	0.000000
Q_D	0.000000
E_R	0.000000
E_Q	0.000000
Q_F	0.000000
E_P	0.000000
E_N	0.000000
E_K	0.000000
E_I	0.000000
Q_H	0.000000
E_H	0.000000
Q_I	0.000000
P_N	0.000000
Crosscorr_w4	0.000000
G_Y	0.000000
F_T	0.000000
G_W	0.000000
N_M	0.000000
G_V	0.000000
N_P	0.000000
N_Q	0.000000
N_R	0.000000
G_T	0.000000
G_S	0.000000
G_Q	0.000000
N_W	0.000000
G_P	0.000000
G_M	0.000000
P_A	0.000000
P_C	0.000000
G_I	0.000000
G_H	0.000000
G_G	0.000000
P_E	0.000000
G_F	0.000000
G_E	0.000000
G_D	0.000000
P_F	0.000000
G_C	0.000000
P_G	0.000000
P_H	0.000000
F_Y	0.000000
P_I	0.000000
F_W	0.000000
F_V	0.000000
g5.g7.g1	0.000000
MC-feat	0.000000
V_G	0.000000
g6.g7.g1	0.000000
g6.g5.g6	0.000000
g6.g5.g7	0.000000
g6.g6.g2	0.000000
g6.g6.g3	0.000000
g6.g6.g4	0.000000
g6.g6.g5	0.000000
g6.g6.g6	0.000000
g6.g6.g7	0.000000
g6.g7.g2	0.000000
g6.g5.g3	0.000000
g6.g7.g3	0.000000
g6.g7.g4	0.000000
negativecharger.uncharger.aromatic	0.000000
negativecharger.postivecharger.negativecharger	0.000000
negativecharger.aromatic.uncharger	0.000000
negativecharger.aromatic.aromatic	0.000000
g6.g7.g5	0.000000
postivecharger.uncharger.negativecharger	0.000000
g6.g5.g4	0.000000
g6.g5.g2	0.000000
g6.g7.g6	0.000000
g1.g5.g6	0.000000
g1.g7.g7	0.000000
g1.g7.g6	0.000000
g1.g7.g5	0.000000
g1.g7.g4	0.000000
g1.g7.g3	0.000000
g1.g7.g2	0.000000
g1.g6.g7	0.000000
g1.g5.g7	0.000000
g1.g4.g7	0.000000
g6.g4.g7	0.000000
g1.g3.g7	0.000000
g1.g2.g7	0.000000
g1.g1.g7	0.000000
solventaccess.G2	0.000000
charge.G3	0.000000
g6.g3.g6	0.000000
g6.g3.g7	0.000000
polarity.G3	0.000000
postivecharger.aromatic.aromatic	0.000000
g6.g7.g7	0.000000
WA-feat	0.000000
WR-feat	0.000000
YH-feat	0.000000
YD-feat	0.000000
YC-feat	0.000000
WY-feat	0.000000
WW-feat	0.000000
WV-feat	0.000000
WT-feat	0.000000
WS-feat	0.000000
WP-feat	0.000000
YW-feat	0.000000
WM-feat	0.000000
WK-feat	0.000000
WI-feat	0.000000
WH-feat	0.000000
WG-feat	0.000000
WF-feat	0.000000
WE-feat	0.000000
WD-feat	0.000000
YM-feat	0.000000
g7.g2.g5	0.000000
aromatic.uncharger.aromatic	0.000000
aromatic.aromatic.postivecharger	0.000000
aromatic.negativecharger.uncharger	0.000000
aromatic.negativecharger.aromatic	0.000000
g7.g1.g2	0.000000
aromatic.postivecharger.postivecharger	0.000000
aromatic.postivecharger.aromatic	0.000000
aromatic.postivecharger.alphaticr	0.000000
aromatic.aromatic.uncharger	0.000000
aromatic.aromatic.negativecharger	0.000000
aromatic.aromatic.aromatic	0.000000
g7.g2.g4	0.000000
g7.g1.g3	0.000000
g7.g1.g4	0.000000
g7.g1.g5	0.000000
g7.g1.g6	0.000000
g7.g1.g7	0.000000
g7.g2.g1	0.000000
g7.g2.g2	0.000000
g7.g2.g3	0.000000
g2.g1.g5	0.000000
g2.g1.g6	0.000000
g2.g1.g7	0.000000
g4.g6.g2	0.000000
g4.g7.g4	0.000000
g4.g7.g3	0.000000
g4.g7.g2	0.000000
g4.g7.g1	0.000000
g4.g6.g7	0.000000
g4.g6.g6	0.000000
g5.g7.g6	0.000000
g4.g6.g3	0.000000
g4.g5.g7	0.000000
g4.g7.g6	0.000000
g4.g5.g6	0.000000
g4.g5.g5	0.000000
g4.g5.g3	0.000000
g5.g7.g7	0.000000
g4.g5.g1	0.000000
g4.g4.g7	0.000000
g4.g4.g6	0.000000
g4.g4.g5	0.000000
g4.g7.g5	0.000000
g4.g7.g7	0.000000
g6.g2.g7	0.000000
g5.g4.g7	0.000000
g5.g6.g6	0.000000
g5.g6.g3	0.000000
g5.g5.g7	0.000000
g5.g5.g6	0.000000
g5.g7.g2	0.000000
g5.g5.g4	0.000000
g5.g7.g3	0.000000
g5.g5.g1	0.000000
g5.g4.g5	0.000000
g5.g7.g5	0.000000
g5.g4.g4	0.000000
