Feature	Importance
WN.gap1	0.000000
WM.gap1	0.000000
EY.gap1	0.000000
WL.gap1	0.000000
YN.gap1	0.000000
WI.gap1	0.000000
YQ.gap1	0.000000
EP.gap1	0.000000
FA.gap1	0.000000
WH.gap1	0.000000
WG.gap1	0.000000
WF.gap1	0.000000
FC.gap1	0.000000
FD.gap1	0.000000
WP.gap1	0.000000
EV.gap1	0.000000
YL.gap1	0.000000
ET.gap1	0.000000
YE.gap1	0.000000
YH.gap1	0.000000
YD.gap1	0.000000
YC.gap1	0.000000
YA.gap1	0.000000
EQ.gap1	0.000000
WY.gap1	0.000000
WW.gap1	0.000000
WV.gap1	0.000000
WT.gap1	0.000000
YI.gap1	0.000000
WS.gap1	0.000000
YK.gap1	0.000000
ER.gap1	0.000000
WQ.gap1	0.000000
YP.gap1	0.000000
WD.gap1	0.000000
VE.gap1	0.000000
VK.gap1	0.000000
VN.gap1	0.000000
YV.gap1	0.000000
VM.gap1	0.000000
FK.gap1	0.000000
VL.gap1	0.000000
EM.gap1	0.000000
EK.gap1	0.000000
VI.gap1	0.000000
WC.gap1	0.000000
VH.gap1	0.000000
YW.gap1	0.000000
FL.gap1	0.000000
VG.gap1	0.000000
YG.gap1	0.000000
EI.gap1	0.000000
FM.gap1	0.000000
FI.gap1	0.000000
EN.gap1	0.000000
FH.gap1	0.000000
YT.gap1	0.000000
FE.gap1	0.000000
WA.gap1	0.000000
VY.gap1	0.000000
FF.gap1	0.000000
FG.gap1	0.000000
YR.gap1	0.000000
VW.gap1	0.000000
SE.gap1	0.000000
YS.gap1	0.000000
VV.gap1	0.000000
VT.gap1	0.000000
VS.gap1	0.000000
VR.gap1	0.000000
VQ.gap1	0.000000
VP.gap1	0.000000
VF.gap1	0.000000
RQ.gap1	0.000000
GM.gap1	0.000000
IE.gap1	0.000000
MR.gap1	0.000000
MQ.gap1	0.000000
MP.gap1	0.000000
MN.gap1	0.000000
MM.gap1	0.000000
ML.gap1	0.000000
MK.gap1	0.000000
MI.gap1	0.000000
IF.gap1	0.000000
MH.gap1	0.000000
IH.gap1	0.000000
MG.gap1	0.000000
MF.gap1	0.000000
ME.gap1	0.000000
MD.gap1	0.000000
II.gap1	0.000000
IK.gap1	0.000000
MC.gap1	0.000000
IL.gap1	0.000000
MS.gap1	0.000000
MT.gap1	0.000000
HR.gap1	0.000000
ID.gap1	0.000000
NI.gap1	0.000000
AR.gap2	0.000000
HS.gap1	0.000000
NH.gap1	0.000000
HT.gap1	0.000000
NG.gap1	0.000000
HV.gap1	0.000000
NF.gap1	0.000000
HW.gap1	0.000000
HY.gap1	0.000000
NE.gap1	0.000000
IA.gap1	0.000000
ND.gap1	0.000000
NC.gap1	0.000000
NA.gap1	0.000000
MY.gap1	0.000000
IC.gap1	0.000000
MW.gap1	0.000000
MV.gap1	0.000000
MA.gap1	0.000000
LY.gap1	0.000000
IM.gap1	0.000000
IN.gap1	0.000000
LI.gap1	0.000000
LH.gap1	0.000000
KI.gap1	0.000000
KK.gap1	0.000000
LF.gap1	0.000000
LE.gap1	0.000000
LD.gap1	0.000000
KL.gap1	0.000000
LC.gap1	0.000000
LA.gap1	0.000000
KY.gap1	0.000000
KW.gap1	0.000000
KM.gap1	0.000000
KV.gap1	0.000000
KT.gap1	0.000000
KS.gap1	0.000000
KR.gap1	0.000000
KQ.gap1	0.000000
KN.gap1	0.000000
LK.gap1	0.000000
LL.gap1	0.000000
KH.gap1	0.000000
LT.gap1	0.000000
IQ.gap1	0.000000
IR.gap1	0.000000
LW.gap1	0.000000
IS.gap1	0.000000
IT.gap1	0.000000
IV.gap1	0.000000
IW.gap1	0.000000
LV.gap1	0.000000
IY.gap1	0.000000
LM.gap1	0.000000
KA.gap1	0.000000
KC.gap1	0.000000
KD.gap1	0.000000
LS.gap1	0.000000
LR.gap1	0.000000
LQ.gap1	0.000000
KF.gap1	0.000000
KG.gap1	0.000000
NK.gap1	0.000000
NL.gap1	0.000000
GP.gap1	0.000000
RF.gap1	0.000000
RD.gap1	0.000000
RC.gap1	0.000000
RA.gap1	0.000000
GT.gap1	0.000000
QY.gap1	0.000000
QW.gap1	0.000000
QV.gap1	0.000000
QT.gap1	0.000000
GV.gap1	0.000000
QS.gap1	0.000000
QR.gap1	0.000000
GW.gap1	0.000000
QP.gap1	0.000000
QN.gap1	0.000000
GY.gap1	0.000000
QM.gap1	0.000000
QL.gap1	0.000000
QK.gap1	0.000000
QI.gap1	0.000000
RE.gap1	0.000000
RG.gap1	0.000000
NM.gap1	0.000000
RH.gap1	0.000000
SD.gap1	0.000000
SC.gap1	0.000000
SA.gap1	0.000000
RY.gap1	0.000000
RW.gap1	0.000000
GQ.gap1	0.000000
RV.gap1	0.000000
RT.gap1	0.000000
RS.gap1	0.000000
RR.gap1	0.000000
GR.gap1	0.000000
KP.gap1	0.000000
RP.gap1	0.000000
RN.gap1	0.000000
RM.gap1	0.000000
RL.gap1	0.000000
RK.gap1	0.000000
GS.gap1	0.000000
RI.gap1	0.000000
QH.gap1	0.000000
HA.gap1	0.000000
HC.gap1	0.000000
HD.gap1	0.000000
PI.gap1	0.000000
HM.gap1	0.000000
PH.gap1	0.000000
PG.gap1	0.000000
PF.gap1	0.000000
PE.gap1	0.000000
PD.gap1	0.000000
HN.gap1	0.000000
PC.gap1	0.000000
PA.gap1	0.000000
NY.gap1	0.000000
NW.gap1	0.000000
NT.gap1	0.000000
NS.gap1	0.000000
HP.gap1	0.000000
HQ.gap1	0.000000
NQ.gap1	0.000000
NP.gap1	0.000000
NN.gap1	0.000000
PK.gap1	0.000000
HL.gap1	0.000000
PM.gap1	0.000000
QA.gap1	0.000000
HE.gap1	0.000000
HF.gap1	0.000000
QF.gap1	0.000000
HG.gap1	0.000000
HH.gap1	0.000000
QE.gap1	0.000000
QD.gap1	0.000000
QC.gap1	0.000000
PY.gap1	0.000000
PN.gap1	0.000000
PW.gap1	0.000000
PV.gap1	0.000000
PT.gap1	0.000000
HI.gap1	0.000000
PS.gap1	0.000000
HK.gap1	0.000000
PQ.gap1	0.000000
PP.gap1	0.000000
AQ.gap2	0.000000
ET.gap2	0.000000
AS.gap2	0.000000
WW.gap2	0.000000
VH.gap2	0.000000
VG.gap2	0.000000
VE.gap2	0.000000
VD.gap2	0.000000
VC.gap2	0.000000
VA.gap2	0.000000
TY.gap2	0.000000
TW.gap2	0.000000
TV.gap2	0.000000
TT.gap2	0.000000
TS.gap2	0.000000
TR.gap2	0.000000
TQ.gap2	0.000000
TP.gap2	0.000000
TN.gap2	0.000000
TM.gap2	0.000000
TL.gap2	0.000000
TK.gap2	0.000000
TI.gap2	0.000000
TH.gap2	0.000000
TG.gap2	0.000000
TF.gap2	0.000000
TE.gap2	0.000000
TD.gap2	0.000000
TC.gap2	0.000000
VK.gap2	0.000000
VL.gap2	0.000000
VM.gap2	0.000000
WG.gap2	0.000000
WT.gap2	0.000000
WS.gap2	0.000000
WR.gap2	0.000000
WQ.gap2	0.000000
WP.gap2	0.000000
WN.gap2	0.000000
WM.gap2	0.000000
WL.gap2	0.000000
WK.gap2	0.000000
WI.gap2	0.000000
WH.gap2	0.000000
WF.gap2	0.000000
VN.gap2	0.000000
WE.gap2	0.000000
WD.gap2	0.000000
WC.gap2	0.000000
WA.gap2	0.000000
VY.gap2	0.000000
VV.gap2	0.000000
VT.gap2	0.000000
VS.gap2	0.000000
VR.gap2	0.000000
VQ.gap2	0.000000
VP.gap2	0.000000
TA.gap2	0.000000
SY.gap2	0.000000
SV.gap2	0.000000
QS.gap2	0.000000
RH.gap2	0.000000
RG.gap2	0.000000
RF.gap2	0.000000
RE.gap2	0.000000
RD.gap2	0.000000
RC.gap2	0.000000
RA.gap2	0.000000
QY.gap2	0.000000
QW.gap2	0.000000
QV.gap2	0.000000
QT.gap2	0.000000
QR.gap2	0.000000
RL.gap2	0.000000
QQ.gap2	0.000000
QP.gap2	0.000000
QN.gap2	0.000000
QM.gap2	0.000000
QK.gap2	0.000000
QI.gap2	0.000000
QG.gap2	0.000000
QF.gap2	0.000000
QE.gap2	0.000000
QD.gap2	0.000000
QC.gap2	0.000000
RI.gap2	0.000000
RM.gap2	0.000000
ST.gap2	0.000000
SF.gap2	0.000000
SS.gap2	0.000000
SR.gap2	0.000000
SQ.gap2	0.000000
SP.gap2	0.000000
SN.gap2	0.000000
SM.gap2	0.000000
SL.gap2	0.000000
SK.gap2	0.000000
SI.gap2	0.000000
SH.gap2	0.000000
SG.gap2	0.000000
SE.gap2	0.000000
RN.gap2	0.000000
SD.gap2	0.000000
SC.gap2	0.000000
SA.gap2	0.000000
RY.gap2	0.000000
RW.gap2	0.000000
RV.gap2	0.000000
RT.gap2	0.000000
RS.gap2	0.000000
RR.gap2	0.000000
RQ.gap2	0.000000
RP.gap2	0.000000
WV.gap2	0.000000
WY.gap2	0.000000
AT.gap2	0.000000
YA.gap2	0.000000
EK.gap3	0.000000
EI.gap3	0.000000
EH.gap3	0.000000
EG.gap3	0.000000
EF.gap3	0.000000
EE.gap3	0.000000
ED.gap3	0.000000
EC.gap3	0.000000
EA.gap3	0.000000
DY.gap3	0.000000
DW.gap3	0.000000
DV.gap3	0.000000
DT.gap3	0.000000
DS.gap3	0.000000
DR.gap3	0.000000
DQ.gap3	0.000000
DP.gap3	0.000000
DN.gap3	0.000000
DM.gap3	0.000000
DL.gap3	0.000000
DK.gap3	0.000000
DI.gap3	0.000000
DH.gap3	0.000000
DG.gap3	0.000000
DF.gap3	0.000000
EL.gap3	0.000000
EM.gap3	0.000000
EN.gap3	0.000000
FG.gap3	0.000000
FW.gap3	0.000000
FV.gap3	0.000000
FT.gap3	0.000000
FR.gap3	0.000000
FQ.gap3	0.000000
FN.gap3	0.000000
FM.gap3	0.000000
FL.gap3	0.000000
FK.gap3	0.000000
FI.gap3	0.000000
FH.gap3	0.000000
FF.gap3	0.000000
EP.gap3	0.000000
FE.gap3	0.000000
FD.gap3	0.000000
FC.gap3	0.000000
FA.gap3	0.000000
EY.gap3	0.000000
EW.gap3	0.000000
EV.gap3	0.000000
ET.gap3	0.000000
ES.gap3	0.000000
ER.gap3	0.000000
EQ.gap3	0.000000
DE.gap3	0.000000
DD.gap3	0.000000
DC.gap3	0.000000
YS.gap2	0.000000
AK.gap3	0.000000
AI.gap3	0.000000
AH.gap3	0.000000
AF.gap3	0.000000
AE.gap3	0.000000
AD.gap3	0.000000
AC.gap3	0.000000
YY.gap2	0.000000
YW.gap2	0.000000
YV.gap2	0.000000
YT.gap2	0.000000
YR.gap2	0.000000
AM.gap3	0.000000
YQ.gap2	0.000000
YP.gap2	0.000000
YM.gap2	0.000000
YK.gap2	0.000000
YI.gap2	0.000000
YH.gap2	0.000000
YG.gap2	0.000000
YF.gap2	0.000000
YE.gap2	0.000000
YD.gap2	0.000000
YC.gap2	0.000000
AL.gap3	0.000000
AN.gap3	0.000000
DA.gap3	0.000000
CK.gap3	0.000000
CY.gap3	0.000000
CW.gap3	0.000000
CV.gap3	0.000000
CT.gap3	0.000000
CS.gap3	0.000000
CR.gap3	0.000000
CQ.gap3	0.000000
CP.gap3	0.000000
CN.gap3	0.000000
CM.gap3	0.000000
CL.gap3	0.000000
CI.gap3	0.000000
AP.gap3	0.000000
CH.gap3	0.000000
CG.gap3	0.000000
CF.gap3	0.000000
CE.gap3	0.000000
CC.gap3	0.000000
AY.gap3	0.000000
AW.gap3	0.000000
AT.gap3	0.000000
AS.gap3	0.000000
AR.gap3	0.000000
AQ.gap3	0.000000
QA.gap2	0.000000
PY.gap2	0.000000
PW.gap2	0.000000
PV.gap2	0.000000
GA.gap2	0.000000
FY.gap2	0.000000
FW.gap2	0.000000
FV.gap2	0.000000
FT.gap2	0.000000
FS.gap2	0.000000
FR.gap2	0.000000
FQ.gap2	0.000000
FP.gap2	0.000000
FN.gap2	0.000000
FM.gap2	0.000000
FL.gap2	0.000000
FK.gap2	0.000000
FI.gap2	0.000000
FH.gap2	0.000000
FF.gap2	0.000000
FE.gap2	0.000000
FD.gap2	0.000000
FC.gap2	0.000000
FA.gap2	0.000000
EY.gap2	0.000000
EW.gap2	0.000000
EV.gap2	0.000000
ED.gap1	0.000000
ES.gap2	0.000000
GC.gap2	0.000000
GD.gap2	0.000000
GF.gap2	0.000000
GY.gap2	0.000000
HM.gap2	0.000000
HL.gap2	0.000000
HK.gap2	0.000000
HI.gap2	0.000000
HH.gap2	0.000000
HG.gap2	0.000000
HF.gap2	0.000000
HE.gap2	0.000000
HD.gap2	0.000000
HC.gap2	0.000000
HA.gap2	0.000000
GW.gap2	0.000000
GG.gap2	0.000000
GV.gap2	0.000000
GT.gap2	0.000000
GS.gap2	0.000000
GR.gap2	0.000000
GP.gap2	0.000000
GN.gap2	0.000000
GM.gap2	0.000000
GL.gap2	0.000000
GK.gap2	0.000000
GI.gap2	0.000000
GH.gap2	0.000000
ER.gap2	0.000000
EQ.gap2	0.000000
EP.gap2	0.000000
CL.gap2	0.000000
DA.gap2	0.000000
CY.gap2	0.000000
CW.gap2	0.000000
CV.gap2	0.000000
CT.gap2	0.000000
CS.gap2	0.000000
CR.gap2	0.000000
CQ.gap2	0.000000
CP.gap2	0.000000
CN.gap2	0.000000
CM.gap2	0.000000
CK.gap2	0.000000
DD.gap2	0.000000
CI.gap2	0.000000
CH.gap2	0.000000
CG.gap2	0.000000
CF.gap2	0.000000
CE.gap2	0.000000
CD.gap2	0.000000
CC.gap2	0.000000
CA.gap2	0.000000
AY.gap2	0.000000
AW.gap2	0.000000
AV.gap2	0.000000
DC.gap2	0.000000
DE.gap2	0.000000
EN.gap2	0.000000
DW.gap2	0.000000
EM.gap2	0.000000
EL.gap2	0.000000
EK.gap2	0.000000
EI.gap2	0.000000
EG.gap2	0.000000
EF.gap2	0.000000
EE.gap2	0.000000
ED.gap2	0.000000
EC.gap2	0.000000
EA.gap2	0.000000
DY.gap2	0.000000
DV.gap2	0.000000
DF.gap2	0.000000
DT.gap2	0.000000
DR.gap2	0.000000
DQ.gap2	0.000000
DP.gap2	0.000000
DN.gap2	0.000000
DM.gap2	0.000000
DL.gap2	0.000000
DK.gap2	0.000000
DI.gap2	0.000000
DH.gap2	0.000000
DG.gap2	0.000000
HP.gap2	0.000000
HQ.gap2	0.000000
HR.gap2	0.000000
MP.gap2	0.000000
NG.gap2	0.000000
NF.gap2	0.000000
NE.gap2	0.000000
ND.gap2	0.000000
NC.gap2	0.000000
MW.gap2	0.000000
MV.gap2	0.000000
MT.gap2	0.000000
MS.gap2	0.000000
MR.gap2	0.000000
MQ.gap2	0.000000
MM.gap2	0.000000
NI.gap2	0.000000
ML.gap2	0.000000
MK.gap2	0.000000
MI.gap2	0.000000
MH.gap2	0.000000
MG.gap2	0.000000
MF.gap2	0.000000
ME.gap2	0.000000
MD.gap2	0.000000
MC.gap2	0.000000
MA.gap2	0.000000
LY.gap2	0.000000
NH.gap2	0.000000
NK.gap2	0.000000
LV.gap2	0.000000
PG.gap2	0.000000
PT.gap2	0.000000
PS.gap2	0.000000
PR.gap2	0.000000
PQ.gap2	0.000000
PP.gap2	0.000000
PN.gap2	0.000000
PM.gap2	0.000000
PL.gap2	0.000000
PK.gap2	0.000000
PI.gap2	0.000000
PH.gap2	0.000000
PF.gap2	0.000000
NL.gap2	0.000000
PE.gap2	0.000000
PD.gap2	0.000000
PC.gap2	0.000000
NY.gap2	0.000000
NW.gap2	0.000000
NT.gap2	0.000000
NS.gap2	0.000000
NR.gap2	0.000000
NQ.gap2	0.000000
NP.gap2	0.000000
NM.gap2	0.000000
LW.gap2	0.000000
LT.gap2	0.000000
HS.gap2	0.000000
IM.gap2	0.000000
KD.gap2	0.000000
KC.gap2	0.000000
KA.gap2	0.000000
IW.gap2	0.000000
IV.gap2	0.000000
IT.gap2	0.000000
IS.gap2	0.000000
IR.gap2	0.000000
IQ.gap2	0.000000
IP.gap2	0.000000
IN.gap2	0.000000
IL.gap2	0.000000
KF.gap2	0.000000
IK.gap2	0.000000
II.gap2	0.000000
IH.gap2	0.000000
IG.gap2	0.000000
IF.gap2	0.000000
ID.gap2	0.000000
IC.gap2	0.000000
IA.gap2	0.000000
HW.gap2	0.000000
HV.gap2	0.000000
HT.gap2	0.000000
KE.gap2	0.000000
KG.gap2	0.000000
LR.gap2	0.000000
LA.gap2	0.000000
LQ.gap2	0.000000
LP.gap2	0.000000
LN.gap2	0.000000
LM.gap2	0.000000
LL.gap2	0.000000
LK.gap2	0.000000
LI.gap2	0.000000
LH.gap2	0.000000
LF.gap2	0.000000
LD.gap2	0.000000
LC.gap2	0.000000
KY.gap2	0.000000
KH.gap2	0.000000
KW.gap2	0.000000
KV.gap2	0.000000
KT.gap2	0.000000
KS.gap2	0.000000
KR.gap2	0.000000
KQ.gap2	0.000000
KP.gap2	0.000000
KN.gap2	0.000000
KM.gap2	0.000000
KL.gap2	0.000000
KI.gap2	0.000000
EE.gap1	0.000000
YS.gap0	0.000000
EC.gap1	0.000000
Q_E	0.000000
N_Q	0.000000
N_P	0.000000
N_N	0.000000
N_M	0.000000
N_L	0.000000
N_K	0.000000
N_I	0.000000
N_H	0.000000
N_G	0.000000
N_F	0.000000
N_E	0.000000
N_D	0.000000
N_C	0.000000
N_A	0.000000
M_Y	0.000000
M_W	0.000000
